text,x_corr,y_corr
"1  The diagram shows an enlarged drawing of the end of a metre rule. It is being used to measure 
",49.60629,75.23254640000005
"2  The speed-time graph shown is for a car moving in a straight line. 
 
",49.60699279999994,350.05250539200006
"3  Two runners take part in a race. 
 
",49.60629,87.8753171840001
"4  A satellite orbits the Earth above the atmosphere at a constant speed. 
 
",49.60666633599999,414.6538488159999
"5  A cup contains hot liquid. 
 
",49.60629,87.8753171840001
"6  The diagrams show three uniform beams P, Q and R, each pivoted at its centre. 
 
",49.60629,293.8978487520002
"7  An object of mass 50 kg accelerates from a velocity of 2.0 m / s to a velocity of 10 m / s in the same 
",49.60629,75.23254640000005
"8  A scalar quantity has 
",49.60753735999998,174.7576587520001
"9  Energy is released in some nuclear reactions. 
 
",49.607757327999984,313.96902688000023
"10  A lorry of mass 4000 kg is travelling at a speed of 4.0 m / s. 
 
",49.60629,522.0013171840001
"11  A force acts on an object and causes the object to move a certain distance, in the same direction 
",49.60629,75.23254640000005
"12  A diver under water uses breathing apparatus at a depth where the pressure is 1.25 × 105
 
",49.60629,295.22919488
"13  The diagram shows a simple mercury barometer. 
 
",49.60629,87.8753171840001
"14  Which statement about evaporation is correct? 
",49.60651203200001,394.0750126400002
"15  A  beaker  contains  0.500 kg  of  water  at  a  temperature  of  3.0 °C.  The  beaker  is  heated,  and  the 
",49.60640204800001,520.6141342720002
"16  A substance loses thermal energy (heat) to the surroundings at a steady rate. 
 
",49.60629,87.8753171840001
"17  A student wishes to check the upper and the lower fixed points on a Celsius scale thermometer. 
 
",49.60754457599995,424.659984496
"18  Two otherwise identical cars, one black and one white, are at the same initial temperature. The 
cars  are  left  in  bright  sunshine  and  their  temperatures  increase.  During  the  night  their 
temperatures decrease. 
",49.60629,100.51808796800016
"19  A liquid is heated in a beaker. 
 
",49.60629,335.3970587520001
"20  Sound waves of frequency 2.0 kHz travel through a substance at a speed of 800 m / s. 
",49.60629,674.760683824
"21  Which row shows the natures of light waves, sound waves and X-rays? 
 
",49.60629,87.8753171840001
"22  The diagram shows light travelling from air into glass. 
 
",49.60629,243.80965875200013
"23  The diagram shows a converging lens forming an image of an object. 
 
",49.60706496,542.014006528
"24  A sound wave travels through air as a series of compressions and rarefactions. 
 
",49.60629,87.8753171840001
"25  A sound wave has a certain amplitude and a certain frequency. 
 
",49.60629,295.9105446080001
"26  What is an electric field? 
",49.606180016,460.4064644480002
"27  A negatively charged rod is held close to one side of a metal sphere. The other side of the sphere 
",49.60629,75.23254640000005
"28  A cell is connected to a lamp, as shown. 
 
",49.6069248,411.421843648
"29  The diagrams show four current-voltage graphs. 
 
",49.60629,87.8753171840001
"30  The four circuits shown all include an a.c. power supply, two diodes and a lamp. 
 
",49.60629,399.913754608
"31  The diagram shows a combination of logic gates. 
 
",49.60629,87.8753171840001
"32  The diagram shows part of a circuit used to switch street lamps on and off automatically. 
 
",49.60629,401.047468752
"33  A domestic circuit includes a 30 A fuse. This protects the wiring if there is too much current in the 
",49.60629,75.23254640000005
"34  A strong electromagnet is used to attract pins. 
 
",49.60629,281.25534875200015
"35  The diagram shows a transformer. 
 
",49.60629,87.8753171840001
"36  The diagram shows a shaded area where the direction of a magnetic field is into the page. 
 
",49.60699279999994,365.699815392
"37  The arrangement shown is used to check whether the flour inside a cardboard packet is above a 
certain  level.  If  it  is  above  this  level,  the  flour  absorbs  the  radiation  from  the  source  so  that  it 
doesn’t reach the detector. 
",49.60629,100.51808796800016
"38  A nucleus of americium 
 
",49.60447801600007,420.3218712
"39  A certain element has several isotopes. 
",49.60607977599997,584.901912768
"40  A  reading  is  taken  every  10  minutes  of  the  number  of  emissions  per  second  from  a  radioactive 
",49.60629,75.23254640000005
